Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-07-16,123.16928519753216,124.23489393811496,122.22310223461588,122.91207122802734,4019700,0.0,0,PEP
2019-07-16,147.59873913344867,149.39951848166166,147.15319000684227,148.46200561523438,943000,0.0,0,CLX
2019-07-16,267.4466192470721,267.7987685112348,266.2854619447435,267.1134948730469,1379200,0.0,0,COST
2019-07-16,20.749047340999123,20.777226864003662,20.589366960436372,20.626937866210938,5659700,0.0,0,KR
2019-07-16,47.972286970044344,48.36179033850545,47.78206535905639,47.88170623779297,5142900,0.0,0,GIS
2019-07-16,107.5689582164292,108.31260385464005,107.31797240588453,107.72698211669922,7644300,0.0,0,PG
2019-07-16,47.28699742875982,47.75113272763435,47.15048970150919,47.450809478759766,7132500,0.0,0,KO
2019-07-16,38.780958192081876,38.99714217007843,38.583576562256184,38.75276184082031,2223700,0.0,0,HRL
2019-07-16,190.86506478574748,190.93202185447848,188.50268280149257,189.25827026367188,1016800,0.0,0,STZ
2019-07-16,109.79231012357499,109.9446237779882,108.5642499629175,109.24967956542969,3488200,0.0,0,WMT
2019-07-17,47.70053664614312,48.108156812219526,47.49219821802254,48.05380630493164,3595800,0.0,0,GIS
2019-07-17,20.645725295046088,20.69269116917753,20.279400434645382,20.326364517211914,7303800,0.0,0,KR
2019-07-17,267.49411222506603,269.20731030683675,266.70415837005834,267.9795227050781,1716600,0.0,0,COST
2019-07-17,189.9086376812284,191.09461550566172,189.15306480355184,190.6929168701172,879200,0.0,0,STZ
2019-07-17,107.57825314706416,108.09880579004934,107.57825314706416,107.7734603881836,7861700,0.0,0,PG
2019-07-17,47.52361658417389,47.56001656195814,47.33250021059251,47.487213134765625,8264200,0.0,0,KO
2019-07-17,109.29726681722943,109.63998159469364,108.71655607002955,109.09735107421875,2688500,0.0,0,WMT
2019-07-17,148.2206684644809,148.79618422473493,147.52449169564753,148.1278533935547,641500,0.0,0,CLX
2019-07-17,123.02228403814283,123.35298966796745,121.69028031308262,121.97505187988281,4105100,0.0,0,PEP
2019-07-17,38.81855382191339,38.827954995539756,38.480183281307816,38.72456359863281,1895300,0.0,0,HRL
2019-07-18,47.35979916085215,47.47810515057208,47.023072499460795,47.3506965637207,11911800,0.0,0,KO
2019-07-18,148.10000408509165,150.47628513575742,147.0325245655918,150.42059326171875,925500,0.0,0,CLX
2019-07-18,121.81891515361194,122.36090077683522,120.81761682926158,122.06694793701172,3698600,0.0,0,PEP
2019-07-18,107.5264825822027,108.3123683505441,107.39550162081248,108.00363159179688,5828700,0.746,0,PG
2019-07-18,38.8185568490452,39.420102930143635,38.63057280232758,39.279117584228516,1828000,0.0,0,HRL
2019-07-18,20.32635983387515,20.41089659626897,20.213645345059717,20.34514617919922,6487400,0.0,0,KR
